Date,Open,High,Low,Close,Volume,Adj Close
2010-11-01,23.809999,25.610001,23.219999,24.120001,1555900,20.357008
2010-10-01,21.57,24.15,21.219999,23.309999,1950500,19.590015
2010-09-01,20.860001,22.82,20.84,21.379999,1868500,17.968018
2010-08-02,21.93,22.60,19.01,20.440001,2117400,17.178032
2010-07-01,19.370001,22.24,18.120001,21.469999,2202000,17.955379
2010-06-01,20.360001,22.719999,19.27,19.370001,2494000,16.19915
2010-05-03,22.57,24.209999,18.139999,20.629999,3174600,17.252888
2010-04-01,18.620001,23.299999,18.389999,22.41,2612100,18.651009
2010-03-01,16.76,19.17,16.59,18.41,1988400,15.321958
2010-02-01,15.43,17.059999,15.10,16.690001,2480600,13.890466
2010-01-04,16.15,17.360001,15.01,15.36,2559400,12.783556
2009-12-01,13.67,17.09,13.52,15.92,2269600,13.249623
2009-11-02,12.41,14.33,11.80,13.51,2888400,11.176662
2009-10-01,14.67,16.049999,12.01,12.35,3794100,10.142649
2009-09-01,12.12,15.91,11.10,14.75,3790600,12.113689
2009-08-03,9.52,12.72,9.21,12.17,3217400,9.994821
2009-07-01,8.92,9.52,7.36,9.38,2353000,7.631016
2009-06-01,9.65,11.10,8.10,8.85,3416900,7.199839
2009-05-01,7.30,9.54,6.98,9.45,5083400,7.687963
2009-04-01,5.32,7.64,5.18,7.30,6424100,5.870034
2009-03-02,5.16,6.28,4.57,5.48,5789300,4.406546
2009-02-02,8.63,9.34,4.90,5.22,5693300,4.197476
2009-01-02,11.97,12.89,8.59,8.89,3791000,7.148576
2008-12-01,11.10,15.21,9.12,11.55,4274900,9.287519
2008-11-03,15.13,16.65,7.01,11.47,4470900,7.731415
2008-10-01,34.59,43.669998,10.00,14.63,3289300,9.861429
2008-09-02,36.200001,42.00,29.25,35.02,4651800,21.177433
2008-08-01,36.369999,39.630001,34.509998,35.439999,3302900,21.431416
2008-07-01,33.540001,42.279999,31.360001,34.169998,2600900,20.663416
2008-06-02,38.619999,40.470001,33.330002,34.060001,1128500,19.067425
2008-05-01,36.939999,41.240002,36.689999,39.57,1245500,22.152025
2008-04-01,36.400002,40.360001,35.799999,36.98,1490300,20.390238
2008-03-03,34.419998,39.630001,32.34,35.810001,1620500,19.745119
2008-02-01,39.50,41.110001,34.349998,34.450001,1643400,18.995234
2008-01-02,34.73,40.700001,29.91,39.470001,2171300,21.763189
2007-12-03,39.869999,41.040001,33.970001,34.73,1617600,19.14962
2007-11-01,46.150002,46.560001,35.52,39.77,1588400,20.479782
2007-10-01,45.060001,49.150002,43.009998,46.73,893700,23.702913
2007-09-04,44.52,46.66,41.860001,45.130001,1112500,22.891344
2007-08-01,42.00,46.290001,38.650002,44.700001,1839700,22.673233
2007-07-02,50.139999,51.619999,41.799999,42.25,1253300,21.11751
2007-06-01,55.139999,56.34,47.099998,50.419998,1418900,25.201061
2007-05-01,55.52,57.009998,50.950001,54.869999,1480000,27.425274
2007-04-02,58.080002,58.98,55.299999,55.299999,820900,27.339214
2007-03-01,58.57,59.849998,54.080002,57.689999,1322200,28.520782
2007-02-01,62.630001,65.790001,57.59,58.860001,1422800,29.099209
2007-01-03,56.27,63.00,54.139999,62.630001,672100,30.963022
2006-12-01,57.549999,58.110001,54.200001,56.02,519500,27.695169
2006-11-01,57.310001,58.060001,52.630001,57.639999,1014800,28.187498
2006-10-02,54.59,59.169998,53.52,57.32,702100,27.722298
2006-09-01,51.25,54.959999,50.709999,54.41,692200,26.314903
2006-08-01,48.09,51.75,47.529999,51.240002,747900,24.781763
2006-07-03,43.75,48.50,43.669998,48.09,599800,22.983318
2006-06-01,43.299999,45.41,42.740002,43.450001,795800,20.765755
2006-05-01,44.619999,46.02,41.41,43.25,693700,20.67017
2006-04-03,47.00,47.23,43.66,44.689999,578800,21.069946
2006-03-01,44.220001,48.380001,43.73,46.900002,659500,22.111895
2006-02-01,42.799999,44.450001,41.400002,44.310001,854300,20.890791
2006-01-03,37.919998,43.00,37.759998,42.52,659300,20.04686
2005-12-01,38.93,39.59,37.689999,37.869999,601600,17.854528
2005-11-01,38.00,39.799999,36.709999,38.73,672300,18.259993
2005-10-03,39.00,39.34,34.93,38.400002,813000,17.828636
2005-09-01,39.91,40.93,37.57,38.779999,587000,18.005064
2005-08-01,44.110001,44.139999,38.099998,39.900002,685400,18.525068
2005-07-01,40.98,44.009998,39.689999,44.00,445100,20.123816
2005-06-01,37.110001,41.299999,37.040001,40.919998,575700,18.715149
2005-05-02,38.169998,39.240002,37.040001,37.099998,728600,16.968035
2005-04-01,37.700001,38.139999,36.240002,38.119999,560300,17.158533
2005-03-01,38.259998,39.389999,35.450001,37.200001,590900,16.744425
2005-02-01,36.049999,38.849998,35.799999,38.259998,827400,17.22155
2005-01-03,38.599998,39.110001,34.169998,35.900002,714600,15.90446
2004-12-01,36.68,39.25,36.389999,38.540001,613900,17.074036
2004-11-01,36.849998,38.57,35.869999,36.369999,604200,16.112679
2004-10-01,34.779999,36.82,34.599998,36.689999,469700,15.9982
2004-09-01,35.57,36.950001,33.799999,34.779999,721800,15.16537
2004-08-02,32.00,35.639999,31.639999,35.50,520200,15.479317
2004-07-01,30.99,33.599998,30.85,31.969999,709300,13.686496
2004-06-01,28.91,31.50,28.26,31.129999,586500,13.326888
2004-05-03,28.25,30.43,26.450001,28.879999,704100,12.363653
2004-04-01,30.76,31.35,27.08,28.17,831300,11.804197
2004-03-01,32.419998,33.869999,30.18,31.09,687800,13.027778
2004-02-02,35.43,36.00,31.16,32.400002,754500,13.576713
2004-01-02,34.700001,35.259998,33.200001,35.18,585500,14.472538
2003-12-01,34.200001,35.049999,33.689999,34.50,380800,14.192796
2003-11-03,40.779999,41.400002,33.00,34.049999,1104200,14.007672
2003-10-01,39.200001,42.049999,38.950001,40.900002,344600,16.538046
2003-09-02,38.700001,39.490002,37.84,39.360001,333900,15.915341
2003-08-01,39.400002,39.849998,36.599998,38.549999,595300,15.587814
2003-07-01,34.549999,39.560001,34.110001,39.41,586600,15.597468
2003-06-02,35.18,36.970001,33.900002,34.599998,452900,13.693793
2003-05-01,37.849998,39.810001,33.669998,35.23,786700,13.943131
2003-04-01,36.48,38.849998,36.299999,37.759998,454400,14.605919
2003-03-03,36.869999,37.860001,35.029999,36.48,1344300,14.110804
2003-02-03,36.50,37.360001,34.639999,36.77,266100,14.222979
2003-01-02,37.580002,39.189999,35.84,36.349998,394400,13.747214
2002-12-02,37.25,37.849998,36.200001,37.48,449800,14.174569
2002-11-01,35.150002,38.00,35.00,37.369999,394400,14.132968
2002-10-01,38.849998,38.849998,33.900002,35.139999,392400,12.995951
2002-09-03,43.52,43.549999,38.610001,38.849998,361400,14.368033
2002-08-01,44.959999,44.959999,40.299999,43.650002,393200,16.143236
2002-07-01,49.099998,49.439999,40.060001,44.959999,398600,16.304619
2002-06-03,46.560001,49.25,46.310001,49.200001,342300,17.842243
2002-05-01,49.25,49.900002,46.169998,46.580002,466300,16.892107
2002-04-01,48.299999,51.459999,47.43,49.099998,246500,17.51095
2002-03-01,45.299999,48.650002,45.18,48.369999,375500,17.250603
2002-02-01,43.68,45.349998,42.880001,45.18,324200,16.112926
2002-01-02,45.700001,46.209999,43.00,43.599998,246300,15.549438
2001-12-03,44.450001,46.400002,44.049999,45.73,169000,16.005688
2001-11-01,41.720001,45.099998,41.639999,44.50,175600,15.575183
2001-10-01,45.099998,45.349998,40.700001,41.970001,320400,14.689672
2001-09-04,48.00,48.00,43.400002,45.259998,210700,15.543304
2001-08-01,45.470001,49.200001,45.34,48.00,190100,16.484283
2001-07-02,48.200001,49.00,45.950001,46.220001,213600,15.605122
2001-06-01,45.900002,48.400002,45.299999,48.200001,145900,16.273623
2001-05-01,44.700001,46.18,43.25,45.869999,148100,15.486951
2001-04-02,44.00,44.900002,42.700001,44.580002,239400,14.78771
2001-03-01,45.00,45.900002,39.25,44.450001,430600,14.744587
2001-02-01,46.349998,46.650002,41.91,44.00,483500,14.595317
2001-01-02,50.125,50.125,45.75,46.099998,237300,15.291911
2000-12-01,45.875,50.0625,45.875,49.9375,202200,16.28895
2000-11-01,44.6875,47.00,43.25,46.00,154700,15.00459
2000-10-02,46.00,46.0625,42.625,45.6875,122500,14.674326
2000-09-01,45.00,46.6875,43.78125,46.0625,105500,14.794772
2000-08-01,48.375,48.375,44.00,44.84375,214100,14.403322
2000-07-03,43.6875,49.375,43.6875,48.375,264400,15.311227
2000-06-01,40.0625,45.25,40.0625,43.5625,146900,13.788017
2000-05-01,40.0625,42.9375,39.625,40.0625,114700,12.680228
2000-04-03,38.125,40.5625,37.75,39.75,191200,12.370374
2000-03-01,36.875,39.9375,36.4375,38.1875,160100,11.884117
2000-02-01,37.875,38.25,36.3125,37.00,216100,11.514562
2000-01-03,39.75,39.8125,36.625,37.875,208200,11.569383
